## blobtools v0.9.19
## assembly	: /home/gerth/Documents/working_directory/mapped_reads_assembled/all_contigs.fas
## coverage	: spades - /home/gerth/Documents/working_directory/mapped_reads_assembled/all_contigs.fas
## taxonomy	: tax0 - /home/gerth/Documents/working_directory/mapped_reads_assembled/all_contigs.blast
## nodesDB	: None
## taxrule	: bestsum
##
# name	length	GC	N	spades	superkingdom.t.6	superkingdom.s.7	superkingdom.c.8	phylum.t.9	phylum.s.10	phylum.c.11	order.t.12	order.s.13	order.c.14	family.t.15	family.s.16	family.c.17	genus.t.18	genus.s.19	genus.c.20	species.t.21	species.s.22	species.c.23
DRR031568_1_length_1082_cov_26.8789	1082	0.5222	0	26.879	Bacteria	18281.0	0	Proteobacteria	18281.0	0	Rhizobiales	18281.0	0	Bartonellaceae	10679.0	1	Bartonella	10679.0	1	uncultured Rhizobiales bacterium	7602.0	4
DRR031568_2_length_598_cov_4.99115	598	0.5886	0	4.991	Bacteria	9883.0	0	Actinobacteria	9883.0	0	Bifidobacteriales	9883.0	0	Bifidobacteriaceae	9883.0	0	Bifidobacterium	9883.0	0	Bifidobacterium bifidum	4425.0	2
DRR031568_3_length_555_cov_5.77203	555	0.5153	0	5.772	Bacteria	8747.0	0	Firmicutes	7794.0	1	Lactobacillales	7794.0	1	Lactobacillaceae	7794.0	1	Lactobacillus	7794.0	1	uncultured Lactobacillus sp.	2725.0	6
DRR031568_4_length_506_cov_22.6385	506	0.5474	0	22.639	Bacteria	8616.0	0	Proteobacteria	8616.0	0	Rhizobiales	8616.0	0	Bartonellaceae	8616.0	0	Bartonella	8616.0	0	Bartonella tribocorum	2577.0	5
DRR031568_5_length_375_cov_4.18713	375	0.528	0	4.187	Bacteria	5379.0	0	Firmicutes	4780.0	1	Lactobacillales	4780.0	1	Lactobacillaceae	4780.0	1	Lactobacillus	4780.0	1	Lactobacillus sp. wkB8	2476.0	4
DRR031568_6_length_201_cov_4.34524	201	0.602	0	4.345	Bacteria	3685.0	0	Actinobacteria	3313.0	1	Bifidobacteriales	3313.0	1	Bifidobacteriaceae	3313.0	1	Bifidobacterium	3313.0	1	Bifidobacterium thermophilum	1464.0	6
DRR031568_7_length_167_cov_5.03731	167	0.6228	0	5.037	Bacteria	3005.0	0	Actinobacteria	2707.0	1	Bifidobacteriales	2707.0	1	Bifidobacteriaceae	2707.0	1	Bifidobacterium	2707.0	1	Bifidobacterium pseudolongum	1192.0	5
DRR031568_8_length_147_cov_8.64912	147	0.5238	0	8.649	Bacteria	2700.0	0	Firmicutes	2433.0	1	Lactobacillales	2161.0	2	Lactobacillaceae	2161.0	2	Lactobacillus	2161.0	2	Lactobacillus helveticus	534.0	8
DRR031568_9_length_124_cov_10.1429	124	0.5242	0	10.143	Bacteria	2257.0	0	Firmicutes	2257.0	0	Lactobacillales	2257.0	0	Lactobacillaceae	2257.0	0	Lactobacillus	2257.0	0	uncultured Lactobacillus sp.	899.0	6
DRR031568_10_length_57_cov_2.29167	57	0.5263	0	2.292	Bacteria	954.0	1	Proteobacteria	848.0	2	unresolved	318.0	5	unresolved	318.0	5	Aeromonas	318.0	6	Escherichia coli	212.0	8
DRR031568_11_length_55_cov_19.3182	55	0.5818	0	19.318	Bacteria	918.0	1	Proteobacteria	714.0	3	Proteobacteria-undef	204.0	8	Proteobacteria-undef	204.0	8	Proteobacteria-undef	204.0	8	unresolved	102.0	9
DRR031569_1_length_1579_cov_17.4709	1579	0.5301	0	17.471	Bacteria	31013.0	0	Proteobacteria	31013.0	0	Rhizobiales	31013.0	0	Bartonellaceae	15717.0	2	Bartonella	15717.0	3	uncultured Rhizobiales bacterium	10620.0	7
DRR031569_2_length_495_cov_4.75541	495	0.5172	0	4.755	Bacteria	7686.0	0	Firmicutes	6853.0	1	Lactobacillales	6853.0	1	Lactobacillaceae	6853.0	1	Lactobacillus	6853.0	1	Lactobacillus sp. wkB8	3452.0	4
DRR031569_3_length_312_cov_5.77419	312	0.5192	0	5.774	Bacteria	5466.0	0	Firmicutes	5466.0	0	Lactobacillales	5466.0	0	Lactobacillaceae	5466.0	0	Lactobacillus	5466.0	0	uncultured Lactobacillus sp.	2284.0	4
DRR031569_4_length_154_cov_12.9339	154	0.5519	0	12.934	Bacteria	2850.0	0	Proteobacteria	2565.0	1	Enterobacterales	2565.0	1	Hafniaceae	2280.0	2	Hafnia	1995.0	3	Hafnia alvei	1995.0	3
DRR031570_1_length_1658_cov_6.18892	1658	0.4988	0	6.189	Bacteria	29218.0	0	Firmicutes	28059.0	1	Lactobacillales	28059.0	1	Lactobacillaceae	28059.0	1	Lactobacillus	25763.0	2	Lactobacillus kunkeei	25763.0	3
DRR031570_2_length_543_cov_28.1706	543	0.477	0	28.171	Eukaryota	9265.0	0	Ascomycota	7417.0	1	Eurotiales	7417.0	1	Aspergillaceae	7417.0	1	Aspergillus	7417.0	1	Aspergillus candidus	3716.0	4
DRR031570_3_length_325_cov_28.4418	325	0.4769	0	28.442	Eukaryota	5076.0	0	Ascomycota	2547.0	2	Saccharomycetales	1541.0	5	Eukaryota-undef	1514.0	6	Eukaryota-undef	1514.0	6	uncultured fungus	1514.0	7
DRR031570_4_length_117_cov_250.226	117	0.4786	0	250.226	Eukaryota	2100.0	0	Arthropoda	2100.0	0	Hymenoptera	2100.0	0	Apidae	1065.0	5	Apis	426.0	8	Apis mellifera	426.0	8
DRR031571_1_length_390_cov_19.7759	390	0.5462	0	19.776	Bacteria	5211.0	0	Firmicutes	5211.0	0	Lactobacillales	5211.0	0	Lactobacillaceae	5211.0	0	Lactobacillus	5211.0	0	Lactobacillus crispatus	1660.0	5
DRR031571_2_length_358_cov_45.7477	358	0.5307	0	45.748	Bacteria	6277.0	0	Proteobacteria	6277.0	0	Enterobacterales	6277.0	0	Pectobacteriaceae	3140.0	2	unresolved	2512.0	3	Pectobacterium carotovorum	2512.0	6
DRR031571_3_length_273_cov_6.35	273	0.5092	0	6.35	Bacteria	4857.0	0	Firmicutes	4352.0	1	Lactobacillales	4352.0	1	Lactobacillaceae	4352.0	1	Lactobacillus	4352.0	1	uncultured Lactobacillus sp.	1010.0	7
DRR031571_4_length_208_cov_62.5486	208	0.5433	0	62.549	Bacteria	3850.0	0	Proteobacteria	3465.0	1	Enterobacterales	3465.0	1	Hafniaceae	2695.0	3	Hafnia	2310.0	4	Hafnia alvei	2310.0	4
DRR031571_5_length_199_cov_75.6867	199	0.5628	0	75.687	Bacteria	3676.0	0	Proteobacteria	3308.0	1	Enterobacterales	3308.0	1	Hafniaceae	3308.0	1	Hafnia	2940.0	2	Hafnia alvei	2940.0	2
DRR031571_6_length_197_cov_73.4512	197	0.5279	0	73.451	Bacteria	3640.0	0	Proteobacteria	3276.0	1	Enterobacterales	3276.0	1	Hafniaceae	2912.0	2	Hafnia	2184.0	3	Hafnia alvei	2184.0	3
DRR031571_7_length_194_cov_5.99379	194	0.567	0	5.994	Bacteria	3014.6	0	Bacteria-undef	1955.8	2	Bacteria-undef	1955.8	2	Bacteria-undef	1955.8	2	Bacteria-undef	1955.8	2	uncultured bacterium	1580.0	4
DRR031572_1_length_647_cov_0.787162	647	0.5224	0	0.787	Bacteria	11208.0	0	Firmicutes	11208.0	0	Lactobacillales	11208.0	0	Lactobacillaceae	11208.0	0	Lactobacillus	11208.0	0	Lactobacillus acidophilus	3099.0	7
DRR031572_2_length_263_cov_0.389423	263	0.5285	0	0.389	Bacteria	3203.0	0	Bacteria-undef	2309.0	1	Bacteria-undef	2309.0	1	Bacteria-undef	2309.0	1	Bacteria-undef	2309.0	2	uncultured bacterium	2309.0	2
DRR031572_3_length_244_cov_0.037037	244	0.4795	0	0.037	Bacteria	3072.0	0	Firmicutes	3072.0	0	Lactobacillales	2728.0	1	Lactobacillaceae	2728.0	1	Lactobacillus	2728.0	1	Lactobacillus sp. wkB8	1392.0	4
DRR031572_4_length_223_cov_5.61905	223	0.4933	0	5.619	Eukaryota	3451.0	0	Eukaryota-undef	2430.0	2	Eukaryota-undef	2430.0	3	Eukaryota-undef	2430.0	3	Eukaryota-undef	2430.0	3	uncultured fungus	1081.0	5
DRR031573_1_length_383_cov_0.77439	383	0.4909	0	0.774	Eukaryota	6690.0	0	Ascomycota	6690.0	0	Onygenales	3380.0	3	Gymnoascaceae	2704.0	5	Arachniotus	1352.0	8	Arachniotus ruber	1352.0	8
DRR031573_2_length_351_cov_0.27027	351	0.453	0	0.27	Eukaryota	6281.0	0	Ascomycota	4411.0	1	Onygenales	2552.0	2	Gymnoascaceae	1914.0	3	Eukaryota-undef	1870.0	4	uncultured Ascomycota	1859.0	6
DRR031573_3_length_272_cov_0.230415	272	0.5147	0	0.23	Bacteria	4997.0	0	Firmicutes	2993.0	1	Bacillales	2993.0	1	Staphylococcaceae	2993.0	1	Staphylococcus	2993.0	1	Staphylococcus epidermidis	2492.0	2
DRR031573_4_length_229_cov_0.0229885	229	0.4847	0	0.023	Bacteria	3440.0	0	Firmicutes	3072.0	1	Lactobacillales	1820.0	2	Lactobacillaceae	1820.0	2	Lactobacillus	1820.0	2	Staphylococcus condimenti	939.0	7
DRR031573_5_length_220_cov_0.230303	220	0.4864	0	0.23	Eukaryota	3857.0	0	Ascomycota	2333.0	1	Onygenales	1601.0	3	Gymnoascaceae	1601.0	3	Gymnoascus	1601.0	3	uncultured fungus	1524.0	4
DRR031573_6_length_213_cov_0.0822785	213	0.5587	0	0.082	Bacteria	3940.0	0	Firmicutes	3940.0	0	Bacillales	3940.0	0	Staphylococcaceae	3940.0	0	Staphylococcus	3940.0	0	Staphylococcus epidermidis	3152.0	2
DRR031576_1_length_1628_cov_9.79436	1628	0.4988	0	9.794	Bacteria	28621.0	0	Firmicutes	28621.0	0	Lactobacillales	28621.0	0	Lactobacillaceae	28621.0	0	Lactobacillus	26327.0	1	Lactobacillus kunkeei	26327.0	1
DRR031576_2_length_1280_cov_156.334	1280	0.4664	0	156.334	Eukaryota	22722.0	0	Ascomycota	22722.0	0	Eurotiales	22722.0	0	Aspergillaceae	22722.0	0	Penicillium	13734.0	1	Aspergillus niger	8988.0	5
DRR031576_3_length_195_cov_172.043	195	0.5128	0	172.043	Eukaryota	3503.0	0	Ascomycota	3503.0	0	Eurotiales	3503.0	0	Aspergillaceae	3503.0	0	Penicillium	3503.0	0	Penicillium chrysogenum	722.0	7
DRR031577_1_length_192_cov_3.24528	192	0.4531	0	3.245	Eukaryota	3535.0	0	Ascomycota	1775.0	1	Eurotiales	1775.0	1	Aspergillaceae	1775.0	1	Penicillium	1775.0	1	unresolved	355.0	9
DRR031578_1_length_787_cov_26.1432	787	0.5362	0	26.143	Bacteria	13339.0	0	Proteobacteria	5972.0	2	Rhizobiales	5275.0	3	Rhizobiaceae	4370.0	4	Rhizobium	4370.0	4	uncultured bacterium	3414.0	8
DRR031578_2_length_475_cov_8.3914	475	0.5242	0	8.391	Bacteria	7765.9	0	Firmicutes	6790.0	2	Lactobacillales	6790.0	2	Lactobacillaceae	6790.0	2	Lactobacillus	6790.0	2	uncultured Lactobacillus sp.	1544.0	8
DRR031578_3_length_380_cov_36.0403	380	0.5	0	36.04	Bacteria	5952.0	0	Proteobacteria	5952.0	0	Rhizobiales	5952.0	0	Bartonellaceae	4736.0	1	Bartonella	4736.0	1	Bartonella bacilliformis	2320.0	4
DRR031578_4_length_349_cov_8.51266	349	0.6017	0	8.513	Bacteria	5759.0	0	Actinobacteria	5759.0	0	Bifidobacteriales	5759.0	0	Bifidobacteriaceae	5759.0	0	Bifidobacterium	5759.0	0	Bifidobacterium bifidum	2615.0	3
DRR031578_5_length_317_cov_37.912	317	0.5552	0	37.912	Bacteria	5830.0	0	Proteobacteria	5244.0	1	Rhizobiales	5244.0	1	Bartonellaceae	3486.0	2	Bartonella	3486.0	2	uncultured Rhizobiales bacterium	1758.0	4
DRR031578_6_length_288_cov_180.733	288	0.5174	0	180.733	Bacteria	5320.0	0	Proteobacteria	5320.0	0	Enterobacterales	5320.0	0	Enterobacteriaceae	5320.0	0	Klebsiella	5320.0	0	Klebsiella pneumoniae	3724.0	2
DRR031578_7_length_202_cov_28.7337	202	0.5297	0	28.734	Bacteria	3159.0	0	Proteobacteria	3159.0	0	Rhizobiales	3159.0	0	Brucellaceae	2835.0	1	Brucella	2835.0	1	Brucella abortus	1575.0	2
DRR031578_8_length_197_cov_339.878	197	0.5838	0	339.878	Bacteria	3618.0	0	Proteobacteria	3618.0	0	Enterobacterales	3618.0	0	Enterobacteriaceae	3618.0	0	Klebsiella	3618.0	0	Klebsiella pneumoniae	3618.0	0
DRR031578_9_length_172_cov_216.691	172	0.5291	0	216.691	Bacteria	3103.0	0	Proteobacteria	3103.0	0	Proteobacteria-undef	1272.0	2	Proteobacteria-undef	1272.0	2	Proteobacteria-undef	1272.0	3	uncultured gamma proteobacterium	1272.0	3
DRR031578_10_length_171_cov_61.7754	171	0.5146	0	61.775	Bacteria	3080.0	0	Proteobacteria	3080.0	0	Rhizobiales	2448.0	1	Rhizobiaceae	1500.0	2	Sinorhizobium	1200.0	3	uncultured Rhizobiales bacterium	948.0	5
DRR031578_11_length_149_cov_400.672	149	0.5705	0	400.672	Bacteria	2756.0	0	Proteobacteria	2204.0	1	Enterobacterales	2204.0	1	Enterobacteriaceae	1104.0	3	unresolved	552.0	5	unresolved	552.0	7
DRR031578_12_length_148_cov_27.1304	148	0.5743	0	27.13	Bacteria	2626.0	0	Proteobacteria	2626.0	0	Rhizobiales	2078.0	1	Bartonellaceae	1256.0	2	Bartonella	1256.0	2	Bartonella quintana	1256.0	2
DRR031578_13_length_116_cov_677.193	116	0.5862	0	677.193	Bacteria	2150.0	0	Proteobacteria	2150.0	0	Enterobacterales	1935.0	1	Yersiniaceae	860.0	4	Serratia	860.0	4	unresolved	430.0	7
DRR031578_14_length_97_cov_282.047	97	0.5052	0	282.047	Bacteria	1800.0	0	Proteobacteria	1620.0	1	Enterobacterales	1620.0	1	Enterobacteriaceae	1620.0	1	Klebsiella	720.0	4	Escherichia coli	540.0	6
DRR031578_15_length_74_cov_288.805	74	0.527	0	288.805	Bacteria	1370.0	0	Proteobacteria	1370.0	0	Enterobacterales	1096.0	1	Enterobacteriaceae	1096.0	1	Klebsiella	1096.0	1	Klebsiella pneumoniae	1096.0	2
DRR031578_16_length_73_cov_443.975	73	0.5616	0	443.975	Bacteria	1215.0	1	Proteobacteria	1215.0	1	Vibrionales	810.0	2	Vibrionaceae	810.0	2	Vibrio	405.0	5	unresolved	270.0	7
DRR031578_17_length_62_cov_411.31	62	0.5645	0	411.31	Bacteria	1150.0	0	Proteobacteria	1150.0	0	Enterobacterales	1150.0	0	Enterobacteriaceae	1150.0	0	Klebsiella	690.0	2	unresolved	345.0	5
DRR031578_18_length_54_cov_201	54	0.537	0	201.0	Bacteria	897.1	1	Proteobacteria	897.1	1	Enterobacterales	797.1	2	Enterobacteriaceae	697.1	3	Escherichia	397.1	5	Escherichia coli	397.1	5
DRR031578_19_length_53_cov_586.75	53	0.6038	0	586.75	Bacteria	891.0	1	Proteobacteria	891.0	1	Rhizobiales	297.0	5	Bradyrhizobiaceae	297.0	5	unresolved	198.0	7	unresolved	99.0	9
DRR031578_20_length_52_cov_535.263	52	0.5577	0	535.263	Bacteria	873.9	1	Bacteria-undef	485.5	2	Bacteria-undef	485.5	4	Bacteria-undef	485.5	4	Bacteria-undef	485.5	5	uncultured bacterium	485.5	5
DRR031578_21_length_49_cov_244	49	0.5102	0	244.0	Bacteria	882.7	0	Proteobacteria	703.2	1	Enterobacterales	615.3	2	Enterobacteriaceae	615.3	2	Klebsiella	351.6	4	Klebsiella pneumoniae	351.6	6
DRR031578_22_length_48_cov_114.733	48	0.5625	0	114.733	Bacteria	538.8	1	Proteobacteria	449.0	2	undef	359.2	5	undef	359.2	5	undef	359.2	5	unresolved	89.8	9
DRR031579_1_length_734_cov_15.4907	734	0.5354	0	15.491	Bacteria	12992.0	0	Proteobacteria	12992.0	0	Rhizobiales	11641.0	1	Bartonellaceae	6237.0	2	Bartonella	6237.0	2	uncultured Rhizobiales bacterium	4053.0	5
DRR031579_2_length_309_cov_23.5688	309	0.5405	0	23.569	Bacteria	4570.0	0	Proteobacteria	4570.0	0	Rhizobiales	4570.0	0	Brucellaceae	4570.0	0	Brucella	4570.0	0	unresolved	2285.0	1
DRR031579_3_length_302_cov_12.7323	302	0.5596	0	12.732	Bacteria	5506.0	0	Proteobacteria	4953.0	1	Rhizobiales	4953.0	1	Phyllobacteriaceae	4406.0	2	Mesorhizobium	4406.0	2	Mesorhizobium plurifarium	1106.0	7
DRR031579_4_length_297_cov_1.95076	297	0.6027	0	1.951	Bacteria	4858.0	0	Actinobacteria	4858.0	0	Bifidobacteriales	4858.0	0	Bifidobacteriaceae	4858.0	0	Bifidobacterium	4858.0	0	uncultured Bifidobacterium sp.	2174.0	2
DRR031579_5_length_291_cov_6.64729	291	0.5773	0	6.647	Bacteria	4805.0	0	Actinobacteria	4805.0	0	Bifidobacteriales	4805.0	0	Bifidobacteriaceae	4805.0	0	Bifidobacterium	4805.0	0	Bifidobacterium bifidum	2320.0	3
DRR031579_6_length_270_cov_5.08017	270	0.5185	0	5.08	Bacteria	4778.0	0	Firmicutes	4778.0	0	Lactobacillales	4778.0	0	Lactobacillaceae	4778.0	0	Lactobacillus	4778.0	0	uncultured Lactobacillus sp.	1973.0	5
DRR031579_7_length_257_cov_10.317	257	0.5019	0	10.317	Eukaryota	4396.0	0	Eukaryota-undef	4396.0	0	Kinetoplastida	4396.0	0	Trypanosomatidae	4396.0	0	Leishmania	2760.0	2	Trypanosoma cruzi	1176.0	5
DRR031579_8_length_239_cov_16.3398	239	0.5063	0	16.34	Bacteria	3448.0	0	Proteobacteria	2113.0	2	Orbales	1749.0	3	Orbaceae	1749.0	3	Gilliamella	1446.0	4	Gilliamella apicola	1446.0	4
DRR031579_9_length_222_cov_12.5026	222	0.5045	0	12.503	Eukaryota	3538.0	0	Eukaryota-undef	3538.0	0	Kinetoplastida	3538.0	0	Trypanosomatidae	3538.0	0	Crithidia	1233.0	3	Crithidia mellificae	1233.0	4
DRR031579_10_length_193_cov_4.8875	193	0.6062	0	4.888	Bacteria	3535.0	0	Actinobacteria	3178.0	1	Bifidobacteriales	3178.0	1	Bifidobacteriaceae	3178.0	1	Bifidobacterium	3178.0	1	Bifidobacterium thermophilum	1404.0	6
DRR031579_11_length_184_cov_34.9007	184	0.5924	0	34.901	Eukaryota	2619.0	0	Eukaryota-undef	2619.0	0	Kinetoplastida	2619.0	0	Trypanosomatidae	2619.0	0	Leishmania	1602.0	2	Trypanosoma cruzi	750.0	6
DRR031579_12_length_175_cov_38.5845	175	0.5486	0	38.584	Bacteria	3195.0	0	Firmicutes	2547.0	1	Bacillales	2547.0	1	Bacillaceae	2547.0	1	Virgibacillus	1285.0	2	Lentibacillus amyloliquefaciens	1262.0	5
DRR031579_13_length_173_cov_13.2	173	0.5087	0	13.2	Bacteria	3149.0	0	Firmicutes	2205.0	1	Lactobacillales	2205.0	1	Lactobacillaceae	2205.0	1	Lactobacillus	2205.0	1	Lactobacillus helveticus	945.0	4
DRR031579_14_length_161_cov_15.5703	161	0.5404	0	15.57	Bacteria	2784.0	0	Proteobacteria	2486.0	1	Rhizobiales	1609.0	2	Bartonellaceae	1609.0	2	Bartonella	1609.0	2	uncultured alpha proteobacterium	877.0	5
DRR031579_15_length_141_cov_39.537	141	0.5319	0	39.537	Bacteria	2610.0	0	Firmicutes	2610.0	0	Bacillales	2610.0	0	Bacillaceae	2610.0	0	Bacillus	2610.0	0	Bacillus licheniformis	1566.0	3
DRR031579_16_length_137_cov_5.45192	137	0.5766	0	5.452	Bacteria	2400.0	0	Actinobacteria	2400.0	0	Bifidobacteriales	2400.0	0	Bifidobacteriaceae	2400.0	0	Bifidobacterium	2400.0	0	uncultured Bifidobacterium sp.	1384.0	3
DRR031579_17_length_129_cov_9.73958	129	0.5039	0	9.74	Bacteria	2300.0	0	Firmicutes	2300.0	0	Lactobacillales	2061.0	1	Lactobacillaceae	2061.0	1	Lactobacillus	2061.0	1	uncultured Lactobacillus sp.	1156.0	5
DRR031579_18_length_125_cov_27.4783	125	0.552	0	27.478	Bacteria	2200.0	0	Firmicutes	2200.0	0	Bacillales	2200.0	0	Bacillaceae	2200.0	0	Virgibacillus	1364.0	2	Bacillus cellulosilyticus	627.0	6
DRR031579_19_length_123_cov_3.91111	123	0.5528	0	3.911	Bacteria	2106.0	0	Proteobacteria	1676.0	2	Rhodospirillales	1676.0	2	Acetobacteraceae	1676.0	2	Acetobacteraceae-undef	912.0	3	uncultured Acetobacter sp.	382.0	8
DRR031579_20_length_121_cov_23.1023	121	0.5372	0	23.102	Bacteria	2215.0	0	Firmicutes	1767.0	1	Bacillales	1767.0	1	Bacillaceae	1548.0	2	Bacillus	876.0	3	Bacillus benzoevorans	657.0	7
DRR031579_21_length_120_cov_64.3218	120	0.575	0	64.322	Eukaryota	2140.0	0	Arthropoda	2140.0	0	Hymenoptera	1085.0	1	Apidae	1085.0	2	Plebeia	434.0	8	unresolved	217.0	9
DRR031579_22_length_100_cov_17.0299	100	0.56	0	17.03	Bacteria	1850.0	0	Firmicutes	1850.0	0	Bacillales	1850.0	0	Bacillaceae	1665.0	1	Oceanobacillus	555.0	5	Terribacillus aidingensis	370.0	8
DRR031579_23_length_98_cov_73.2154	98	0.5918	0	73.215	Eukaryota	1735.0	0	Arthropoda	1564.0	1	Hemiptera	865.0	2	Apidae	528.0	6	unresolved	176.0	9	unresolved	176.0	9
DRR031579_24_length_87_cov_13.0741	87	0.6092	0	13.074	Bacteria	1585.0	0	Firmicutes	1585.0	0	Bacillales	1585.0	0	Bacillaceae	1585.0	0	Virgibacillus	805.0	1	Virgibacillus halotolerans	322.0	8
DRR031579_25_length_72_cov_13.8718	72	0.5278	0	13.872	Bacteria	1304.0	0	Firmicutes	768.0	1	Bacillales	768.0	1	Bacillaceae	646.0	2	Bacteria-undef	536.0	4	uncultured bacterium	402.0	5
DRR031579_26_length_70_cov_5.64865	70	0.5571	0	5.649	Bacteria	1252.0	0	Proteobacteria	992.0	1	Rhodospirillales	992.0	1	Acetobacteraceae	992.0	1	Commensalibacter	620.0	2	uncultured Commensalibacter sp.	620.0	4
DRR031579_27_length_69_cov_14.3611	69	0.5217	0	14.361	Bacteria	1250.0	0	Firmicutes	738.0	1	Bacillales	738.0	1	Bacillaceae	738.0	1	Bacteria-undef	512.0	4	uncultured bacterium	384.0	6
DRR031579_28_length_60_cov_41.037	60	0.4833	0	41.037	Bacteria	1075.0	0	Firmicutes	1075.0	0	Bacillales	1075.0	0	Bacillaceae	1075.0	0	Virgibacillus	333.0	3	unresolved	111.0	9
DRR031579_29_length_49_cov_37	49	0.6531	0	37.0	Bacteria	549.6	1	unresolved	366.4	2	undef	366.4	6	undef	366.4	6	undef	366.4	6	unresolved	91.6	9
DRR031579_30_length_44_cov_13.7273	44	0.6136	0	13.727	Bacteria	824.0	0	Proteobacteria	494.4	2	Streptomycetales	247.2	6	Streptomycetaceae	247.2	6	Streptomyces	247.2	7	Streptomyces griseus	164.8	8
DRR031580_1_length_519_cov_210.819	519	0.4586	0	210.819	Eukaryota	9135.0	0	Ascomycota	4765.0	1	Xylariales	4765.0	1	Eukaryota-undef	4370.0	2	Eukaryota-undef	4370.0	2	uncultured fungus	4370.0	4
DRR031580_2_length_340_cov_360.039	340	0.5206	0	360.039	Eukaryota	5861.0	0	Ascomycota	5861.0	0	Ascomycota-undef	4702.0	2	Ascomycota-undef	4702.0	2	Ascomycota-undef	2905.0	3	Coniosporium uncinatum	1797.0	5
DRR031581_1_length_509_cov_2.13877	509	0.4774	0	2.139	Eukaryota	9154.0	0	Ascomycota	5514.0	1	Eurotiales	5514.0	1	Aspergillaceae	5514.0	1	Aspergillus	5514.0	1	Aspergillus ochraceus	929.0	9
DRR031581_2_length_341_cov_0.933566	341	0.4516	0	0.934	Eukaryota	6184.0	0	Ascomycota	6184.0	0	Eurotiales	6184.0	0	Aspergillaceae	5581.0	1	Aspergillus	5581.0	1	Aspergillus ochraceus	2500.0	3
DRR031581_3_length_305_cov_2.292	305	0.482	0	2.292	Eukaryota	5498.0	0	Ascomycota	5498.0	0	Eurotiales	5498.0	0	Aspergillaceae	5498.0	0	Aspergillus	4966.0	1	Aspergillus niger	2176.0	3
DRR031581_4_length_140_cov_1.24706	140	0.5214	0	1.247	Eukaryota	2457.0	0	Ascomycota	2207.0	1	Ascomycota-undef	1470.0	3	Ascomycota-undef	1470.0	4	Ascomycota-undef	1470.0	4	uncultured Ascomycota	1470.0	4
DRR031581_5_length_88_cov_10	88	0.4545	0	10.0	Eukaryota	1621.0	0	Arthropoda	1621.0	0	Hymenoptera	1621.0	0	Ichneumonidae	485.0	5	Apis	326.0	8	Apis mellifera	326.0	8
DRR031581_6_length_77_cov_8.81818	77	0.5065	0	8.818	Eukaryota	1424.0	0	Arthropoda	1144.0	2	unresolved	572.0	3	unresolved	572.0	3	Drosophila	572.0	5	Drosophila melanogaster	572.0	6
DRR031582_1_length_814_cov_19.3227	814	0.5	0	19.323	Bacteria	13410.0	0	Proteobacteria	13410.0	0	Orbales	11459.0	2	Orbaceae	11459.0	2	Gilliamella	10219.0	3	Gilliamella apicola	10219.0	3
DRR031582_2_length_485_cov_25.8031	485	0.4887	0	25.803	Bacteria	8805.0	0	Firmicutes	8805.0	0	Lactobacillales	8805.0	0	Lactobacillaceae	8805.0	0	Lactobacillus	8805.0	0	Lactobacillus kunkeei	7168.0	2
DRR031582_3_length_444_cov_8.31873	444	0.5383	0	8.319	Bacteria	8040.0	0	Proteobacteria	8040.0	0	Rhizobiales	7219.0	1	Brucellaceae	3935.0	2	Ochrobactrum	3935.0	2	uncultured Rhizobiales bacterium	3284.0	6
DRR031582_4_length_391_cov_19.2821	391	0.491	0	19.282	Bacteria	6471.0	0	Firmicutes	6471.0	0	Lactobacillales	6471.0	0	Lactobacillaceae	6471.0	0	Lactobacillus	6471.0	0	Lactobacillus kunkeei	5388.0	2
DRR031582_5_length_320_cov_5.35889	320	0.5156	0	5.359	Bacteria	4983.0	0	Firmicutes	4983.0	0	Lactobacillales	4397.0	1	Lactobacillaceae	4397.0	1	Lactobacillus	4397.0	1	uncultured Lactobacillus sp.	1725.0	4
DRR031582_6_length_316_cov_24.1343	316	0.5348	0	24.134	Bacteria	5603.0	0	Proteobacteria	5603.0	0	Orbales	2243.0	3	Orbaceae	2243.0	3	Gilliamella	1720.0	5	Gilliamella apicola	1136.0	7
DRR031582_7_length_312_cov_30.828	312	0.5224	0	30.828	Bacteria	5418.0	0	Proteobacteria	5418.0	0	Proteobacteria-undef	2240.0	2	Proteobacteria-undef	2240.0	2	Proteobacteria-undef	2240.0	3	uncultured gamma proteobacterium	2240.0	3
DRR031582_8_length_253_cov_3.18182	253	0.5889	0	3.182	Bacteria	4375.0	0	Actinobacteria	4375.0	0	Bifidobacteriales	4375.0	0	Bifidobacteriaceae	4375.0	0	Bifidobacterium	4375.0	0	Bifidobacterium dentium	2175.0	3
DRR031582_9_length_236_cov_2.87685	236	0.6017	0	2.877	Bacteria	4329.0	0	Actinobacteria	3893.0	1	Bifidobacteriales	3893.0	1	Bifidobacteriaceae	3893.0	1	Bifidobacterium	3893.0	1	Bifidobacterium thermophilum	1724.0	6
DRR031582_10_length_214_cov_5.33702	214	0.5047	0	5.337	Bacteria	3765.0	0	Proteobacteria	3765.0	0	Rhizobiales	3765.0	0	Rhizobiales-undef	1980.0	1	Rhizobiales-undef	1980.0	1	uncultured Rhizobiales bacterium	1980.0	2
